kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,16775570.0,12571361.0,-4204209.0,-25.061497,misses,lower_is_better,clang++
metric,branch_instructions,g++,clang++,39973595.0,14478917.0,-25494678.0,-63.778797,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,39044.0,39599.0,555.0,1.421473,misses,lower_is_better,g++
metric,branch_miss_rate_pct,g++,clang++,0.0977,0.2735,0.1758,179.938588,%,lower_is_better,g++
metric,cache_miss_rate_pct,g++,clang++,28.8822,14.8756,-14.0066,-48.495613,%,lower_is_better,clang++
metric,cache_misses,g++,clang++,24258818.0,13219852.0,-11038966.0,-45.504962,misses,lower_is_better,clang++
metric,cache_references,g++,clang++,83992216.0,88869470.0,4877254.0,5.806793,references,lower_is_better,g++
metric,cpu_cycles,g++,clang++,825934996.0,851234247.0,25299251.0,3.063104,cycles,lower_is_better,g++
metric,dtlb_load_misses,g++,clang++,1768423.0,1305889.0,-462534.0,-26.155168,misses,lower_is_better,clang++
metric,execution_time_ms,g++,clang++,153.2698,154.0908,0.821,0.535657,ms,lower_is_better,g++
metric,frontend_stall_cycles,g++,clang++,195348724.0,10457784.0,-184890940.0,-94.646607,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,23.6518,1.2285,-22.4233,-94.805892,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,237946327.0,161474633.0,-76471694.0,-32.138212,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,0.2881,0.1897,-0.0984,-34.154807,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,301.0,297.0,-4.0,-1.328904,misses,lower_is_better,clang++
metric,l1_cache_misses,g++,clang++,40777736.0,45567883.0,4790147.0,11.746967,misses,lower_is_better,g++
metric,l1_icache_misses,g++,clang++,120244.0,136705.0,16461.0,13.689664,misses,lower_is_better,g++
metric,l2_cache_misses,g++,clang++,16775570.0,12571361.0,-4204209.0,-25.061497,misses,lower_is_better,clang++
metric,l2_per_l1_miss_pct,g++,clang++,41.139,27.5882,-13.5508,-32.93906,%,lower_is_better,clang++
metric,ref_cycles,g++,clang++,569383944.0,582540733.0,13156789.0,2.310706,cycles,lower_is_better,g++
derived_metric,branch_miss_rate,g++,clang++,0.000977,0.002735,0.001758,179.938588,,lower_is_better,g++
derived_metric,branch_mpki,g++,clang++,0.164087,0.245234,0.081147,49.453643,,lower_is_better,g++
derived_metric,cache_miss_rate,g++,clang++,0.288822,0.148756,-0.140066,-48.495613,,lower_is_better,clang++
derived_metric,cpi,g++,clang++,3.471098,5.271628,1.80053,51.872059,,lower_is_better,g++
derived_metric,execution_efficiency,g++,clang++,1552467.133121,1047918.714161,-504548.41896,-32.499781,,higher_is_better,g++
derived_metric,frontend_stall_ratio,g++,clang++,0.236518,0.012285,-0.224233,-94.805892,,lower_is_better,clang++
derived_metric,ipc,g++,clang++,0.288093,0.189695,-0.098398,-34.154943,,higher_is_better,g++
derived_metric,l1_mpki,g++,clang++,171.373673,282.1984,110.824727,64.668467,,lower_is_better,g++
derived_metric,l2_mpki,g++,clang++,70.501488,77.853473,7.351985,10.428127,,lower_is_better,g++
derived_metric,memory_intensity,g++,clang++,0.352988,0.550362,0.197374,55.915215,,lower_is_better,g++
