kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,320478.0,305052.0,-15426.0,-4.813435,misses,lower_is_better,clang++
metric,branch_instructions,g++,clang++,71355224.0,27477243.0,-43877981.0,-61.492318,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,16757.0,14917.0,-1840.0,-10.980486,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,0.0235,0.0543,0.0308,131.06383,%,lower_is_better,g++
metric,cache_miss_rate_pct,g++,clang++,2.0282,2.1544,0.1262,6.222266,%,lower_is_better,g++
metric,cache_misses,g++,clang++,200790.0,209904.0,9114.0,4.539071,misses,lower_is_better,g++
metric,cache_references,g++,clang++,9900119.0,9743071.0,-157048.0,-1.586324,references,lower_is_better,clang++
metric,cpu_cycles,g++,clang++,153702075.0,152525161.0,-1176914.0,-0.765711,cycles,lower_is_better,clang++
metric,dtlb_load_misses,g++,clang++,30290.0,31998.0,1708.0,5.638825,misses,lower_is_better,g++
metric,execution_time_ms,g++,clang++,28.1802,28.0918,-0.0884,-0.313695,ms,lower_is_better,clang++
metric,frontend_stall_cycles,g++,clang++,5055568.0,3711863.0,-1343705.0,-26.578715,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,3.2892,2.4336,-0.8556,-26.012404,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,428954125.0,295841027.0,-133113098.0,-31.032013,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,2.7908,1.9396,-0.8512,-30.500215,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,223.0,261.0,38.0,17.040359,misses,lower_is_better,g++
metric,l1_cache_misses,g++,clang++,4821244.0,4820499.0,-745.0,-0.015452,misses,lower_is_better,clang++
metric,l1_icache_misses,g++,clang++,123156.0,83405.0,-39751.0,-32.27695,misses,lower_is_better,clang++
metric,l2_cache_misses,g++,clang++,320478.0,305052.0,-15426.0,-4.813435,misses,lower_is_better,clang++
metric,l2_per_l1_miss_pct,g++,clang++,6.6472,6.3282,-0.319,-4.799013,%,lower_is_better,clang++
metric,ref_cycles,g++,clang++,105881433.0,105081874.0,-799559.0,-0.755146,cycles,lower_is_better,clang++
