kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,109142.0,272405.0,163263.0,149.587693,misses,lower_is_better,g++
metric,branch_instructions,g++,clang++,160318517.0,169514890.0,9196373.0,5.736314,branches,lower_is_better,g++
metric,branch_mispredictions,g++,clang++,9026714.0,8751693.0,-275021.0,-3.046745,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,5.6305,5.1628,-0.4677,-8.306545,%,lower_is_better,clang++
metric,cache_miss_rate_pct,g++,clang++,1.7429,2.4784,0.7355,42.199782,%,lower_is_better,g++
metric,cache_misses,g++,clang++,116156.0,221606.0,105450.0,90.783085,misses,lower_is_better,g++
metric,cache_references,g++,clang++,6664591.0,8941557.0,2276966.0,34.165127,references,lower_is_better,g++
metric,cpu_cycles,g++,clang++,418684301.0,376246853.0,-42437448.0,-10.135906,cycles,lower_is_better,clang++
metric,dtlb_load_misses,g++,clang++,3713.0,7508.0,3795.0,102.208457,misses,lower_is_better,g++
metric,execution_time_ms,g++,clang++,76.728,68.43,-8.298,-10.814826,ms,lower_is_better,clang++
metric,frontend_stall_cycles,g++,clang++,128976382.0,132282135.0,3305753.0,2.563068,cycles,lower_is_better,g++
metric,frontend_stall_ratio_pct,g++,clang++,30.8052,35.1583,4.3531,14.131056,%,lower_is_better,g++
metric,instruction_count,g++,clang++,907309711.0,747690576.0,-159619135.0,-17.592574,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,2.167,1.9872,-0.1798,-8.297185,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,269.0,309.0,40.0,14.869888,misses,lower_is_better,g++
metric,l1_cache_misses,g++,clang++,5247358.0,5325706.0,78348.0,1.493094,misses,lower_is_better,g++
metric,l1_icache_misses,g++,clang++,32638.0,31890.0,-748.0,-2.291807,misses,lower_is_better,clang++
metric,l2_cache_misses,g++,clang++,109142.0,272405.0,163263.0,149.587693,misses,lower_is_better,g++
metric,l2_per_l1_miss_pct,g++,clang++,2.0799,5.1149,3.035,145.920477,%,lower_is_better,g++
metric,ref_cycles,g++,clang++,288510606.0,258441452.0,-30069154.0,-10.422201,cycles,lower_is_better,clang++
derived_metric,branch_miss_rate,g++,clang++,0.056305,0.051628,-0.004677,-8.306545,,lower_is_better,clang++
derived_metric,branch_mpki,g++,clang++,9.948878,11.704966,1.756088,17.651116,,lower_is_better,g++
derived_metric,cache_miss_rate,g++,clang++,0.017429,0.024784,0.007355,42.199782,,lower_is_better,g++
derived_metric,cpi,g++,clang++,0.461457,0.503212,0.041755,9.048514,,lower_is_better,g++
derived_metric,execution_efficiency,g++,clang++,11825014.479721,10926356.510302,-898657.969419,-7.599635,,higher_is_better,g++
derived_metric,frontend_stall_ratio,g++,clang++,0.308052,0.351583,0.043531,14.131056,,lower_is_better,g++
derived_metric,ipc,g++,clang++,2.16705,1.987234,-0.179816,-8.297732,,higher_is_better,g++
derived_metric,l1_mpki,g++,clang++,5.783425,7.122874,1.339449,23.160134,,lower_is_better,g++
derived_metric,l2_mpki,g++,clang++,0.120292,0.364329,0.244037,202.870515,,lower_is_better,g++
derived_metric,memory_intensity,g++,clang++,0.007345,0.011959,0.004614,62.818244,,lower_is_better,g++
