kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,102843.0,97187.0,-5656.0,-5.499645,misses,lower_is_better,clang++
metric,branch_instructions,g++,clang++,110613808.0,108400956.0,-2212852.0,-2.000521,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,346823.0,2237.0,-344586.0,-99.355002,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,0.3135,0.0021,-0.3114,-99.330144,%,lower_is_better,clang++
metric,cache_miss_rate_pct,g++,clang++,1.9358,2.0242,0.0884,4.566587,%,lower_is_better,g++
metric,cache_misses,g++,clang++,92177.0,96459.0,4282.0,4.64541,misses,lower_is_better,g++
metric,cache_references,g++,clang++,4761697.0,4765361.0,3664.0,0.076947,references,lower_is_better,g++
metric,cpu_cycles,g++,clang++,87587701.0,66280618.0,-21307083.0,-24.32657,cycles,lower_is_better,clang++
metric,dtlb_load_misses,g++,clang++,7939.0,7842.0,-97.0,-1.221816,misses,lower_is_better,clang++
metric,execution_time_ms,g++,clang++,16.074,12.3292,-3.7448,-23.29725,ms,lower_is_better,clang++
metric,frontend_stall_cycles,g++,clang++,8801484.0,3874295.0,-4927189.0,-55.981344,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,10.0488,5.8453,-4.2035,-41.830865,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,378131676.0,365563109.0,-12568567.0,-3.32386,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,4.3172,5.5154,1.1982,27.7541,insn/cycle,higher_is_better,clang++
metric,itlb_load_misses,g++,clang++,259.0,256.0,-3.0,-1.158301,misses,lower_is_better,clang++
metric,l1_cache_misses,g++,clang++,2330575.0,2334691.0,4116.0,0.176609,misses,lower_is_better,g++
metric,l1_icache_misses,g++,clang++,33747.0,35367.0,1620.0,4.800427,misses,lower_is_better,g++
metric,l2_cache_misses,g++,clang++,102843.0,97187.0,-5656.0,-5.499645,misses,lower_is_better,clang++
metric,l2_per_l1_miss_pct,g++,clang++,4.4128,4.1627,-0.2501,-5.667603,%,lower_is_better,clang++
metric,ref_cycles,g++,clang++,60537835.0,45575954.0,-14961881.0,-24.714926,cycles,lower_is_better,clang++
derived_metric,branch_miss_rate,g++,clang++,0.003135,2.1e-05,-0.003114,-99.330144,,lower_is_better,clang++
derived_metric,branch_mpki,g++,clang++,0.917202,0.006119,-0.911083,-99.332862,,lower_is_better,clang++
derived_metric,cache_miss_rate,g++,clang++,0.019358,0.020242,0.000884,4.566587,,lower_is_better,g++
derived_metric,cpi,g++,clang++,0.231633,0.181311,-0.050322,-21.724884,,lower_is_better,clang++
derived_metric,execution_efficiency,g++,clang++,23524429.264651,29650188.901145,6125759.636494,26.039993,,higher_is_better,clang++
derived_metric,frontend_stall_ratio,g++,clang++,0.100488,0.058453,-0.042035,-41.830865,,lower_is_better,clang++
derived_metric,ipc,g++,clang++,4.317178,5.515385,1.198207,27.754403,,higher_is_better,clang++
derived_metric,l1_mpki,g++,clang++,6.163395,6.386561,0.223166,3.620829,,lower_is_better,g++
derived_metric,l2_mpki,g++,clang++,0.271977,0.265856,-0.006121,-2.250558,,lower_is_better,clang++
derived_metric,memory_intensity,g++,clang++,0.012593,0.013036,0.000443,3.517827,,lower_is_better,g++
