kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,12483050.0,14025803.0,1542753.0,12.358783,misses,lower_is_better,g++
metric,branch_instructions,g++,clang++,36476731.0,11424482.0,-25052249.0,-68.680083,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,10739.0,10339.0,-400.0,-3.724742,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,0.0294,0.0905,0.0611,207.823129,%,lower_is_better,g++
metric,cache_miss_rate_pct,g++,clang++,15.3632,18.4471,3.0839,20.073292,%,lower_is_better,g++
metric,cache_misses,g++,clang++,12316269.0,14089182.0,1772913.0,14.394887,misses,lower_is_better,g++
metric,cache_references,g++,clang++,80167502.0,76375998.0,-3791504.0,-4.729478,references,lower_is_better,clang++
metric,cpu_cycles,g++,clang++,94694285.0,89678538.0,-5015747.0,-5.296779,cycles,lower_is_better,clang++
metric,dtlb_load_misses,g++,clang++,220285.0,388772.0,168487.0,76.485916,misses,lower_is_better,g++
metric,execution_time_ms,g++,clang++,17.1296,16.716,-0.4136,-2.414534,ms,lower_is_better,clang++
metric,frontend_stall_cycles,g++,clang++,49806953.0,3032009.0,-46774944.0,-93.912478,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,52.5976,3.381,-49.2166,-93.57195,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,253844697.0,176334290.0,-77510407.0,-30.534578,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,2.6807,1.9663,-0.7144,-26.649756,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,300.0,291.0,-9.0,-3.0,misses,lower_is_better,clang++
metric,l1_cache_misses,g++,clang++,36455317.0,36264827.0,-190490.0,-0.52253,misses,lower_is_better,clang++
metric,l1_icache_misses,g++,clang++,71244.0,74643.0,3399.0,4.770928,misses,lower_is_better,g++
metric,l2_cache_misses,g++,clang++,12483050.0,14025803.0,1542753.0,12.358783,misses,lower_is_better,g++
metric,l2_per_l1_miss_pct,g++,clang++,34.2421,38.6761,4.434,12.948972,%,lower_is_better,g++
metric,ref_cycles,g++,clang++,65807153.0,61769639.0,-4037514.0,-6.135373,cycles,lower_is_better,clang++
