kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,182458.0,160228.0,-22230.0,-12.183626,misses,lower_is_better,clang++
metric,branch_instructions,g++,clang++,15263260.0,15235560.0,-27700.0,-0.181482,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,33463.0,31598.0,-1865.0,-5.57332,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,0.2192,0.2074,-0.0118,-5.383212,%,lower_is_better,clang++
metric,cache_miss_rate_pct,g++,clang++,3.5628,3.5928,0.03,0.842034,%,lower_is_better,g++
metric,cache_misses,g++,clang++,179177.0,190710.0,11533.0,6.436652,misses,lower_is_better,g++
metric,cache_references,g++,clang++,5029045.0,5308177.0,279132.0,5.550398,references,lower_is_better,g++
metric,cpu_cycles,g++,clang++,50900555.0,60169013.0,9268458.0,18.208953,cycles,lower_is_better,g++
metric,dtlb_load_misses,g++,clang++,10819.0,12263.0,1444.0,13.34689,misses,lower_is_better,g++
metric,execution_time_ms,g++,clang++,8.972,11.1506,2.1786,24.282211,ms,lower_is_better,g++
metric,frontend_stall_cycles,g++,clang++,3782414.0,14840071.0,11057657.0,292.343911,cycles,lower_is_better,g++
metric,frontend_stall_ratio_pct,g++,clang++,7.431,24.664,17.233,231.906877,%,lower_is_better,g++
metric,instruction_count,g++,clang++,199618525.0,199194138.0,-424387.0,-0.212599,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,3.9217,3.3106,-0.6111,-15.582528,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,290.0,294.0,4.0,1.37931,misses,lower_is_better,g++
metric,l1_cache_misses,g++,clang++,1892997.0,1897899.0,4902.0,0.258954,misses,lower_is_better,g++
metric,l1_icache_misses,g++,clang++,47342.0,46051.0,-1291.0,-2.726965,misses,lower_is_better,clang++
metric,l2_cache_misses,g++,clang++,182458.0,160228.0,-22230.0,-12.183626,misses,lower_is_better,clang++
metric,l2_per_l1_miss_pct,g++,clang++,9.6386,8.4424,-1.1962,-12.410516,%,lower_is_better,clang++
metric,ref_cycles,g++,clang++,35034817.0,41491884.0,6457067.0,18.430429,cycles,lower_is_better,g++
