kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,7958728.0,6539464.0,-1419264.0,-17.832799,misses,lower_is_better,clang++
metric,branch_instructions,g++,clang++,23158007.0,10103518.0,-13054489.0,-56.371384,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,37778.0,24236.0,-13542.0,-35.84626,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,0.1631,0.2399,0.0768,47.087676,%,lower_is_better,g++
metric,cache_miss_rate_pct,g++,clang++,18.8004,14.5129,-4.2875,-22.805366,%,lower_is_better,clang++
metric,cache_misses,g++,clang++,8297991.0,6405898.0,-1892093.0,-22.80182,misses,lower_is_better,clang++
metric,cache_references,g++,clang++,44137422.0,44139233.0,1811.0,0.004103,references,lower_is_better,g++
metric,cpu_cycles,g++,clang++,420378524.0,422196226.0,1817702.0,0.432396,cycles,lower_is_better,g++
metric,dtlb_load_misses,g++,clang++,1025276.0,622716.0,-402560.0,-39.263574,misses,lower_is_better,clang++
metric,execution_time_ms,g++,clang++,77.2592,79.5908,2.3316,3.017893,ms,lower_is_better,g++
metric,frontend_stall_cycles,g++,clang++,17783925.0,6656120.0,-11127805.0,-62.572267,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,4.2305,1.5765,-2.654,-62.734901,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,136937090.0,90304106.0,-46632984.0,-34.054312,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,0.3257,0.2139,-0.1118,-34.326067,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,277.0,318.0,41.0,14.801444,misses,lower_is_better,g++
metric,l1_cache_misses,g++,clang++,22068026.0,22152290.0,84264.0,0.381838,misses,lower_is_better,g++
metric,l1_icache_misses,g++,clang++,101101.0,104457.0,3356.0,3.319453,misses,lower_is_better,g++
metric,l2_cache_misses,g++,clang++,7958728.0,6539464.0,-1419264.0,-17.832799,misses,lower_is_better,clang++
metric,l2_per_l1_miss_pct,g++,clang++,36.0645,29.5205,-6.544,-18.145268,%,lower_is_better,clang++
metric,ref_cycles,g++,clang++,288254818.0,289885235.0,1630417.0,0.565617,cycles,lower_is_better,g++
