field,value,unit

INPUT,,
file,machine_block_placement_csv_parse.c,
path,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,
type,c,

RUN,,
schema_version,1,
tool_version,0.1.2,
backend,cpu,
status,executed,
compiler,/home/aitr/osc/llvm-project/build-stage1/bin/clang,
compiler_version,clang version 24.0.0git (https://github.com/compilersutra/llvm-project.git 196786fa5fe4225539678fc7904a383eca05374e),
executable,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O2/machine_block_placement_csv_parse,
timestamp_utc,2026-08-23T05:18:04.076506+00:00,
generated_at_utc,2026-08-23T05:18:04.076506+00:00,

PROFILING,,
measurement_status,same_execution,
same_execution,true,
wall_time_source,native_runner,
perf_source,perf_stat_wrapped_native_runner,
perf_command,"perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner --binary /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O2/machine_block_placement_csv_parse --program-arg 1048576",
perf_events,"cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2",

EXECUTION,,
compiler_flags,"[""-std=c11"",""-O2""]",
program_args,"[""1048576""]",
terminated_by,exit,

TIMING,,
trial_1_ms,70.963,ms
trial_2_ms,75.895,ms
trial_3_ms,75.906,ms
trial_4_ms,70.88,ms
trial_5_ms,70.857,ms
trial_6_ms,75.999,ms
trial_7_ms,70.954,ms
trial_8_ms,75.988,ms
trial_9_ms,70.915,ms
trial_10_ms,70.94,ms
trial_11_ms,75.993,ms
trial_12_ms,70.853,ms
trial_13_ms,70.905,ms
trial_14_ms,70.891,ms
trial_15_ms,70.885,ms
trial_16_ms,70.865,ms
trial_17_ms,75.978,ms
trial_18_ms,70.901,ms
trial_19_ms,70.92,ms
trial_20_ms,70.898,ms
trial_21_ms,70.911,ms
trial_22_ms,70.847,ms
trial_23_ms,70.915,ms
trial_24_ms,70.914,ms
trial_25_ms,70.927,ms
trial_26_ms,76.023,ms
trial_27_ms,70.903,ms
trial_28_ms,70.936,ms
trial_29_ms,75.96,ms
trial_30_ms,75.945,ms
trial_31_ms,70.913,ms
trial_32_ms,75.988,ms
trial_33_ms,76.01,ms
trial_34_ms,70.875,ms
trial_35_ms,70.96,ms
trial_36_ms,70.985,ms
trial_37_ms,70.886,ms
trial_38_ms,75.931,ms
trial_39_ms,75.941,ms
trial_40_ms,70.951,ms
trial_41_ms,70.9,ms
trial_42_ms,70.938,ms
trial_43_ms,70.918,ms
trial_44_ms,76.052,ms
trial_45_ms,70.882,ms
trial_46_ms,70.933,ms
trial_47_ms,70.874,ms
