field,value,unit

INPUT,,
file,machine_block_placement_csv_parse.c,
path,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,
type,c,

RUN,,
schema_version,1,
tool_version,0.1.2,
backend,cpu,
status,executed,
compiler,/home/aitr/osc/llvm-project/build-stage1/bin/clang,
compiler_version,clang version 24.0.0git (https://github.com/compilersutra/llvm-project.git 196786fa5fe4225539678fc7904a383eca05374e),
executable,/home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O2np/machine_block_placement_csv_parse,
timestamp_utc,2026-08-23T05:18:13.008578+00:00,
generated_at_utc,2026-08-23T05:18:13.008578+00:00,

PROFILING,,
measurement_status,same_execution,
same_execution,true,
wall_time_source,native_runner,
perf_source,perf_stat_wrapped_native_runner,
perf_command,"perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner --binary /home/aitr/reaserch/technical/compilers/llvm/build/csperf_testcase_O2np/machine_block_placement_csv_parse --program-arg 1048576",
perf_events,"cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses,cache-references,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2",

EXECUTION,,
compiler_flags,"[""-std=c11"",""-O2"",""-mllvm"",""-disable-block-placement""]",
program_args,"[""1048576""]",
terminated_by,exit,

TIMING,,
trial_1_ms,70.987,ms
trial_2_ms,81.155,ms
trial_3_ms,76.202,ms
trial_4_ms,70.986,ms
trial_5_ms,71.115,ms
trial_6_ms,65.85,ms
trial_7_ms,65.831,ms
trial_8_ms,65.792,ms
trial_9_ms,70.946,ms
trial_10_ms,76.13,ms
trial_11_ms,65.924,ms
trial_12_ms,65.856,ms
trial_13_ms,70.884,ms
trial_14_ms,65.868,ms
trial_15_ms,70.933,ms
trial_16_ms,70.925,ms
trial_17_ms,65.881,ms
trial_18_ms,65.878,ms
trial_19_ms,65.888,ms
trial_20_ms,65.869,ms
trial_21_ms,65.831,ms
trial_22_ms,65.884,ms
trial_23_ms,65.862,ms
trial_24_ms,65.794,ms
trial_25_ms,65.829,ms
trial_26_ms,65.853,ms
trial_27_ms,65.876,ms
trial_28_ms,65.862,ms
trial_29_ms,65.878,ms
trial_30_ms,65.86,ms
trial_31_ms,65.854,ms
trial_32_ms,65.85,ms
trial_33_ms,65.907,ms
trial_34_ms,65.846,ms
trial_35_ms,65.822,ms
trial_36_ms,65.87,ms
trial_37_ms,65.83,ms
trial_38_ms,65.852,ms
trial_39_ms,65.863,ms
trial_40_ms,70.942,ms
trial_41_ms,65.856,ms
trial_42_ms,65.874,ms
trial_43_ms,65.863,ms
trial_44_ms,65.869,ms
trial_45_ms,65.824,ms
