config,rep,seconds,cycles,instructions,ipc,branches,branch_misses
O0,1,0.069602956,373484989,2055662357,5.504003,453238132,661271
O0,2,0.074150703,393026457,2054879720,5.228350,453076866,671558
O0,3,0.069492947,366684033,2058602083,5.614103,453784315,670521
O0,4,0.071929458,380619210,2059466005,5.410830,453892381,666060
O0,5,0.069663525,369036766,2055755048,5.570597,453218122,671828
O0,6,0.071962798,382479926,2056248481,5.376095,453357014,662575
O0,7,0.07371238,385713864,2058083732,5.335778,453739685,671191
O0,8,0.075878537,388909332,2055722170,5.285865,453241496,668881
O0,9,0.075247767,395292662,2060016441,5.211370,454035069,675098
O0,10,0.108496995,565669689,2055464998,3.633684,453186906,676904
O0,11,0.068460326,361393994,2054739298,5.685593,453060303,671496
O0,12,0.070602511,374414166,2054702520,5.487780,453050852,674813
O0,13,0.066393848,354466285,2055041564,5.797566,453119694,660121
O0,14,0.073447035,390071704,2054760393,5.267648,453050637,666443
O0,15,0.073044852,385281050,2057179477,5.339426,453508368,669008
O0,16,0.070910496,376117900,2057055093,5.469176,453513376,676570
O0,17,0.069205713,369285982,2056239593,5.568150,453314531,666263
O0,18,0.072021739,376609904,2055435096,5.457730,453179387,672005
O0,19,0.07010662,373008659,2055095446,5.509511,453107105,666723
O0,20,0.069415781,368398929,2054805247,5.577663,453055182,664815
O0,21,0.072948785,390893096,2056486765,5.260995,453373820,663104
O0,22,0.069698107,375049113,2061654572,5.497026,454369762,669321
O0,23,0.069634817,368834594,2054730130,5.570872,453067425,670614
O0,24,0.071328171,379303706,2055186475,5.418314,453141444,674989
O0,25,0.068012723,360261905,2054910250,5.703934,453101023,659210
O0,26,0.069893753,369862895,2054770791,5.555493,453075672,666031
O0,27,0.070476854,372302090,2054792943,5.519155,453077957,660649
O0,28,0.069850005,373170126,2054981743,5.506823,453109296,662847
O0,29,0.07010816,371708752,2054840636,5.528093,453088101,669988
O0,30,0.071788744,379322534,2055477081,5.418811,453196695,677985
O0,31,0.068187022,365866676,2054678845,5.615922,453048537,671394
O0,32,0.066369211,355821697,2054772110,5.774724,453066005,658031
O0,33,0.069020028,365655554,2054910622,5.619799,453089969,674529
O0,34,0.069122997,366624468,2055802424,5.607379,453257112,662248
O0,35,0.067193808,360663084,2055234932,5.698490,453139752,666594
O0,36,0.06832766,362719413,2055975746,5.668226,453281941,664605
O0,37,0.075378797,399117860,2060938735,5.163735,454080790,675544
O0,38,0.068540166,360950224,2056307562,5.696928,453324961,673078
O0,39,0.069907924,370729584,2055816110,5.545325,453270785,665442
O0,40,0.069414332,368163537,2055527866,5.583192,453214947,679033
O0,41,0.071595547,372674632,2054724766,5.513455,453060610,673136
